Local GovernmentTaxVendor #FY Total,,,,,,,,,,
ABINGDON,MT,390000010,JUL - DEC,"13,627.33","15,408.35","14,279.31","14,262.29","14,934.29","14,872.91",
"",,,JAN - JUN,"12,762.60","13,779.31","16,316.20","12,986.07","12,848.84","15,187.32","171,264.82"
ADAMS COUNTY GOVERNMENT,CST,290000001,JUL - DEC,"152,482.71","156,427.09","164,614.06","155,722.84","156,606.27","153,763.28",
"",,,JAN - JUN,"151,608.98","165,220.16","202,249.84","143,321.85","140,514.53","158,078.37","1,900,609.98"
ADAMS COUNTY GOVERNMENT,CT,290000001,JUL - DEC,"41,810.71","50,181.88","43,281.23","59,693.63","41,953.95","47,360.19",
"",,,JAN - JUN,"45,161.06","40,098.30","56,288.23","47,124.45","52,040.15","39,548.48","564,542.26"
ADDIEVILLE,MT,390000018,JUL - DEC,"2,915.07","3,072.78","4,085.92","3,518.13","3,631.55","4,339.26",
"",,,JAN - JUN,"5,359.61","4,279.54","3,374.16","2,203.93","1,657.04","2,516.80","40,953.79"
ADDISON,HMR,390000029,JUL - DEC,"379,845.40","410,662.98","429,851.24","387,422.51","414,037.18","423,858.02",
"",,,JAN - JUN,"419,494.70","450,345.76","437,021.48","375,515.38","373,491.46","372,809.67","4,874,355.78"
ADDISON,MT,390000029,JUL - DEC,"588,227.15","631,199.87","658,374.98","605,298.51","642,903.82","662,065.11",
"",,,JAN - JUN,"689,527.04","654,659.78","694,082.40","585,360.63","592,083.42","593,537.42","7,597,320.13"
ADDISON,MTART,390000029,JUL - DEC,27.57,11.74,10.86,17.81,14.76,17.81,
"",,,JAN - JUN,19.73,21.65,21.65,21.65,21.65,38.38,245.26
ADELINE,MT,390000030,JUL - DEC,60.16,105.60,6.34,192.32,344.00,167.52,
"",,,JAN - JUN,294.96,224.96,197.61,127.24,234.08,215.71,"2,170.50"
ALBANY,MT,390000020,JUL - DEC,"4,251.87","3,616.28","5,085.79","4,189.67","4,384.45","5,419.11",
"",,,JAN - JUN,"3,069.57","2,848.56","3,366.19","3,216.13","2,993.47","3,592.78","46,033.87"
ALBERS,MT,390000045,JUL - DEC,"5,650.21","5,359.15","5,380.03","4,761.00","5,054.50","4,489.34",
"",,,JAN - JUN,"5,731.66","4,925.67","6,345.13","4,702.25","4,736.55","5,595.13","62,730.62"
ALBION,MT,390000050,JUL - DEC,"17,591.01","17,964.56","20,035.14","21,031.50","19,607.91","19,323.97",
"",,,JAN - JUN,"17,722.66","17,008.84","19,902.72","17,824.85","16,322.45","18,691.02","223,026.63"
ALEDO,MT,390000060,JUL - DEC,"50,034.72","44,591.97","51,289.53","40,126.41","45,256.44","48,272.42",
"",,,JAN - JUN,"46,894.75","47,325.89","55,924.38","48,914.42","48,169.89","48,211.05","575,011.87"
ALEXANDER COUNTY GOVERNMENT,CST,290000003,JUL - DEC,"4,970.96","3,802.24","5,851.11","4,980.05","5,197.09","4,877.19",
"",,,JAN - JUN,"4,688.16","4,701.41","5,208.44","3,744.65","4,832.64","4,237.45","57,091.39"
ALEXANDER COUNTY GOVERNMENT,CT,290000003,JUL - DEC,"4,188.86","2,820.73","6,150.87","4,584.67","4,326.70","5,546.40",
"",,,JAN - JUN,"5,110.59","4,610.89","5,450.72","4,030.31","5,382.72","4,211.57","56,415.03"
ALEXIS,MT,390000070,JUL - DEC,"2,657.86","2,608.38","3,108.08","3,548.43","2,387.87","3,133.51",
"",,,JAN - JUN,"3,734.63","2,681.05","3,351.18","2,430.32","2,372.93","3,888.87","35,903.11"
ALGONQUIN,HMR,390000080,JUL - DEC,"280,124.36","290,665.07","312,670.86","291,831.64","302,327.18","308,652.42",
"",,,JAN - JUN,"283,088.24","340,606.72","429,801.83","249,816.65","236,017.32","287,946.59","3,613,548.88"
ALGONQUIN,MT,390000080,JUL - DEC,"514,236.47","525,849.83","567,060.70","536,739.85","546,830.05","571,573.88",
"",,,JAN - JUN,"575,005.56","574,606.04","733,813.87","476,135.73","461,338.10","539,662.67","6,622,852.75"
ALHAMBRA,MT,390000090,JUL - DEC,"2,325.03","1,938.04","2,009.85","3,132.05","6,775.07","3,627.06",
"",,,JAN - JUN,"7,508.97","4,077.24","6,901.11","6,813.65","8,186.29","7,889.36","61,183.72"
ALLENDALE,MT,390000100,JUL - DEC,988.71,356.90,747.84,240.07,343.58,352.96,
"",,,JAN - JUN,"1,073.58",722.70,"1,375.25","1,242.72","1,068.38","1,713.32","10,226.01"
ALLENVILLE,MT,390000105,JUL - DEC,204.80,236.40,128.80,168.26,412.17,318.88,
"",,,JAN - JUN,147.99,155.06,248.71,144.53,62.39,80.71,"2,308.70"
ALLERTON,MT,390000108,JUL - DEC,"1,776.86","1,828.43",933.53,982.56,"1,174.72","2,915.01",
"",,,JAN - JUN,"4,004.94","2,127.39","1,129.84",972.79,"1,084.18","2,565.03","21,495.28"
ALMA,MT,390000110,JUL - DEC,"1,048.69",335.58,539.41,649.68,187.80,268.67,
"",,,JAN - JUN,309.61,691.91,470.92,325.93,253.59,274.71,"5,356.50"
ALORTON,MT,390000120,JUL - DEC,"20,940.31","29,115.79","21,530.93","4,040.21","14,495.34","19,732.36",
"",,,JAN - JUN,"21,208.88","19,929.62","18,392.86","21,462.40","19,989.09","24,264.07","235,101.86"
ALPHA,MT,390000130,JUL - DEC,"2,137.25","2,650.90","2,874.15","3,732.62","3,412.62","3,513.45",
"",,,JAN - JUN,"2,876.32","3,419.78","3,949.54","2,627.05","5,650.04","2,963.66","39,807.38"
ALSEY,MT,390000139,JUL - DEC,376.53,279.69,217.12,343.75,214.86,393.70,
"",,,JAN - JUN,196.36,232.70,197.96,570.18,395.85,260.17,"3,678.87"
ALSIP,HMR,390000140,JUL - DEC,"150,709.41","157,010.36","168,567.31","156,946.64","167,459.43","166,452.65",
"",,,JAN - JUN,"172,631.44","161,867.52","154,845.34","156,452.10","137,605.20","165,024.99","1,915,572.39"
ALSIP,MT,390000140,JUL - DEC,"275,799.54","292,471.16","308,730.58","295,763.19","303,954.95","305,551.29",
"",,,JAN - JUN,"312,037.95","278,551.76","292,847.24","285,711.75","253,563.78","297,775.97","3,502,759.16"
ALSIP,MTART,390000140,JUL - DEC,21.65,44.30,9.84,37.12,35.71,37.53,
"",,,JAN - JUN,15.74,54.96,12.78,39.31,43.30,24.61,376.85
ALTAMONT,MT,390000150,JUL - DEC,"23,156.23","23,883.19","24,825.32","20,113.69","23,984.05","24,921.28",
"",,,JAN - JUN,"24,263.13","21,425.89","25,324.73","20,625.68","19,271.68","18,987.81","270,782.68"
ALTO PASS,MT,390000180,JUL - DEC,"1,181.94","1,165.47","1,344.30",737.13,867.95,"1,249.79",
"",,,JAN - JUN,"1,741.09","1,038.89",871.36,573.14,447.33,576.74,"11,795.13"
Local GovernmentTaxVendor #FY Total,,,,,,,,,,
ALTON,HMR,390000160,JUL - DEC,"142,105.72","155,536.23","155,517.36","140,718.21","142,056.70","148,922.21",
"",,,JAN - JUN,"138,134.54","161,529.61","196,213.27","123,282.06","126,625.50","146,744.38","1,777,385.79"
ALTON,MT,390000160,JUL - DEC,"437,457.65","440,773.70","469,695.42","437,915.22","427,660.08","443,602.96",
"",,,JAN - JUN,"407,044.66","448,721.41","529,760.62","406,772.33","371,619.32","442,543.74","5,263,567.11"
ALTON,MTART,390000160,JUL - DEC,164.47,208.82,151.18,238.13,177.41,121.20,
"",,,JAN - JUN,127.50,193.88,188.44,46.90,143.65,143.67,"1,905.25"
ALTONA,MT,390000170,JUL - DEC,"1,419.34","1,740.68","1,776.17","2,011.77","1,937.02","1,543.53",
"",,,JAN - JUN,"1,615.55","1,496.74","2,098.88","1,805.13","1,502.46","1,786.62","20,733.89"
ALVIN,MT,390000185,JUL - DEC,157.75,231.16,49.05,269.91,53.74,42.46,
"",,,JAN - JUN,49.77,32.33,101.93,49.44,45.24,94.12,"1,176.90"
AMBOY,MT,390000190,JUL - DEC,"11,609.72","12,414.74","15,981.79","13,320.65","14,982.88","13,150.34",
"",,,JAN - JUN,"13,543.56","12,669.31","14,860.54","11,749.48","10,885.93","12,755.61","157,924.55"
ANCHOR,MT,390000198,JUL - DEC,13.74,18.22,206.41,15.86,26.02,141.69,
"",,,JAN - JUN,103.55,20.57,84.91,15.66,84.72,123.70,855.05
ANDALUSIA,MT,390000200,JUL - DEC,"5,234.16","5,943.50","6,121.23","5,801.06","5,527.51","5,208.24",
"",,,JAN - JUN,"5,502.24","4,307.35","5,323.56","4,120.08","4,107.26","4,971.40","62,167.59"
ANDOVER,MT,390000205,JUL - DEC,"1,963.59","1,745.20","2,370.35","1,890.39","2,103.42","1,721.57",
"",,,JAN - JUN,"1,877.55","1,670.57","2,333.96","1,817.71","1,698.05","2,015.34","23,207.70"
ANNA,MT,390000210,JUL - DEC,"88,701.73","93,417.77","97,340.73","94,924.47","90,034.89","89,162.83",
"",,,JAN - JUN,"89,895.75","95,400.80","114,690.30","87,324.26","85,866.90","97,541.23","1,124,301.66"
ANNAWAN,MT,390000220,JUL - DEC,"6,793.88","9,734.06","10,582.93","8,585.20","9,608.00","9,470.81",
"",,,JAN - JUN,"9,670.94","10,211.44","5,856.92","6,441.55","5,713.76","6,819.05","99,488.54"
ANTIOCH,MT,390000230,JUL - DEC,"254,790.96","304,582.66","320,661.84","288,586.11","281,248.53","281,875.79",
"",,,JAN - JUN,"295,340.60","274,761.30","320,991.00","253,453.06","261,035.13","272,376.26","3,409,703.24"
ANTIOCH,MTART,390000230,JUL - DEC,595.32,589.00,547.28,619.52,786.07,547.11,
"",,,JAN - JUN,623.86,552.03,695.69,554.98,604.18,634.90,"7,349.94"
APPLE RIVER,MT,390000240,JUL - DEC,"1,602.06","2,406.43","4,295.96","1,776.66","2,040.05","1,702.58",
"",,,JAN - JUN,"1,168.86","1,349.67","1,963.85","1,713.00","1,482.42","1,418.64","22,920.18"
ARCOLA,MT,390000250,JUL - DEC,"21,223.39","22,371.74","22,521.56","20,727.36","18,945.35","21,334.78",
"",,,JAN - JUN,"21,501.20","19,898.94","27,089.93","22,385.97","17,375.71","20,837.02","256,212.95"
ARCOLA,NHMR,390000250,JUL - DEC,"8,140.89","8,694.08","8,501.76","8,133.57","7,435.43","8,243.16",
"",,,JAN - JUN,"8,188.96","8,187.41","11,355.14","8,184.26","7,068.23","8,179.87","100,312.76"
ARENZVILLE,MT,390000260,JUL - DEC,"2,372.71","2,649.75","2,172.00","1,865.42","2,306.66","2,025.59",
"",,,JAN - JUN,"1,936.76","2,441.13","1,547.20","1,866.84","1,745.99","2,116.92","25,046.97"
ARGENTA,MT,390000270,JUL - DEC,"3,419.07","3,483.17","3,436.55","3,143.00","2,512.49","4,283.99",
"",,,JAN - JUN,"2,374.98","2,953.43","2,473.50","2,682.39","2,102.85","2,595.13","35,460.55"
ARLINGTON,MT,390000279,JUL - DEC,331.20,19.96,23.71,12.36,419.00,435.36,
"",,,JAN - JUN,411.73,348.20,36.91,86.51,21.43,159.32,"2,305.69"
ARLINGTON HEIGHTS,HMR,390000280,JUL - DEC,"465,016.38","521,117.98","513,991.07","476,193.31","473,063.44","495,036.18",
"",,,JAN - JUN,"466,811.06","522,124.77","632,525.90","392,651.73","372,475.99","446,161.52","5,777,169.33"
ARLINGTON HEIGHTS,MT,390000280,JUL - DEC,"904,660.81","967,040.56","974,708.12","886,338.31","900,155.60","962,909.27",
"",,,JAN - JUN,"959,042.95","945,478.00","1,150,154.31","785,138.79","762,951.81","891,631.20","11,090,209.73"
ARLINGTON HEIGHTS,MTART,390000280,JUL - DEC,"1,094.42","1,408.29","1,092.48","1,269.78","1,928.74","1,152.74",
"",,,JAN - JUN,"1,249.07",928.74,996.76,"1,142.36","1,152.13","1,146.75","14,562.26"
ARMINGTON,MT,390000290,JUL - DEC,282.85,175.47,485.96,100.47,517.78,304.74,
